Updated 03/13/26 at 11:32pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue
Demond Claiborne,RB90,RB,FA,1746,-1.0,Yes,RB94,1350
Joe Mixon,RB91,RB,FA,1717,29.6,No,RB90,1467
2028 Mid 4th,,PI,,1706,,,,1545
Garrett Nussmeier,QB38,QB,FA,1704,-1.0,Yes,QB41,2056
Roschon Johnson,RB92,RB,CHI,1702,25.1,No,RB93,1428
Michael Carter,RB93,RB,ARI,1696,26.8,No,RB91,1456
Ted Hurst,WR134,WR,FA,1696,-1.0,Yes,WR144,1242
Devontez Walker,WR135,WR,BAL,1687,24.7,No,WR133,1431
Tutu Atwell,WR137,WR,LAR,1683,26.4,No,WR134,1417
Olamide Zaccheaus,WR136,WR,ATL,1683,28.6,No,WR135,1375
Dyami Brown,WR138,WR,JAC,1676,26.4,No,WR136,1357
Malik Davis,RB94,RB,DAL,1674,27.3,No,RB92,1433
Greg Dulcich,TE52,TE,MIA,1649,26.0,No,TE50,1414
Mike Gesicki,TE51,TE,CIN,1649,30.4,No,TE52,1379
Cade Stover,TE53,TE,HOU,1642,25.8,No,TE53,1374
Emari Demercado,RB95,RB,ARI,1613,27.1,No,RB97,1267
Dillon Gabriel,QB39,QB,CLE,1612,25.2,No,QB49,1686
Jalin Hyatt,WR139,WR,NYG,1611,24.5,No,WR140,1273
Ty Johnson,RB96,RB,BUF,1607,28.5,No,RB95,1341
Justice Hill,RB97,RB,BAL,1600,28.3,No,RB96,1331
Trey Palmer,WR140,WR,NOS,1552,24.9,No,WR142,1259
Greg Dortch,WR141,WR,ARI,1530,27.8,No,WR139,1284
Seth McGowan,RB98,RB,FA,1521,-1.0,Yes,RB108,1104
Jacoby Brissett,QB40,QB,ARI,1516,33.2,No,QB32,2771
Kareem Hunt,RB99,RB,KCC,1513,30.6,No,RB99,1217
Le'Veon Moss,RB100,RB,FA,1513,-1.0,Yes,RB104,1156
Phil Mafah,RB101,RB,DAL,1511,23.4,No,RB98,1261
Tyrell Shavers,WR142,WR,BUF,1500,26.6,No,WR147,1204
Jack Endries,TE54,TE,FA,1499,-1.0,Yes,TE61,1077
2028 Late 4th,,PI,,1496,,,,1310
Tai Felton,WR143,WR,MIN,1493,23.0,No,WR138,1308
Quinn Ewers,QB41,QB,MIA,1480,22.8,No,QB38,2131
Tyler Higbee,TE55,TE,LAR,1479,33.2,No,TE54,1295
Erick All,TE56,TE,CIN,1479,25.5,No,TE56,1205
CJ Daniels,WR144,WR,FA,1479,-1.0,Yes,WR157,1083
KaVontae Turpin,WR145,WR,DAL,1477,29.6,No,WR141,1266
Joe Milton,QB42,QB,DAL,1476,26.0,No,QB44,1823
